object_id,player_name,times_best,avg_breakdown_gap_m,matches,avg_baseline_gap_m,diff_m
DFL-OBJ-J017PC,Jean-Luc Mamadou Diarra Dompé,1,0.4632510793295593,1,24.612364899844696,24.149113820515137
DFL-OBJ-J01W6J,Rayan Philippe,4,1.357520840707948,4,17.949927090613773,16.592406249905824
DFL-OBJ-J021LJ,Fabio Amado Uri Baldé,1,5.194850845658803,1,21.6662998198281,16.4714489741693
DFL-OBJ-J01HP7,Miro Max Maria Muheim,20,2.629296792419658,12,19.019277478183486,16.389980685763827
DFL-OBJ-J01N5U,William Mikelbrencis,3,7.196284626518836,3,22.861368143302577,15.665083516783742
DFL-OBJ-J01VXC,Giorgi Gocholeishvili,2,7.005110060863343,2,22.591675597803146,15.586565536939803
DFL-OBJ-002G8B,Ransford-Yeboah Königsdörffer,16,2.6543238819974615,12,16.98291846456603,14.328594582568568
DFL-OBJ-J024Z8,Philip Porwei Otele,2,5.539406396325389,2,19.765810664479044,14.226404268153654
DFL-OBJ-J01QPG,Damion Lamar Downs,13,3.3431246524905145,6,16.151296861948484,12.80817220945797
DFL-OBJ-J02594,Albert Grønbæk Erlykke,11,4.694569380652766,3,17.477073438011832,12.782504057359066
DFL-OBJ-J01QSK,Otto Emerson Stange,4,4.39703143182073,3,17.14313779208611,12.746106360265381
DFL-OBJ-0027JU,Jordan Torunarigha,15,3.8304006823586905,10,15.891345360682726,12.060944678324034
DFL-OBJ-J01G5F,Warmed Omari,15,4.636475580744281,8,16.658222300687928,12.021746719943646
DFL-OBJ-J019DF,Guilherme Magro Pires Ramos,2,1.999989785706584,1,13.877850563154974,11.87786077744839
DFL-OBJ-J01H5G,Nicolas Capaldo Taboas,35,4.355057687409469,14,15.468492358189701,11.113434670780233
DFL-OBJ-0002F6,Yussuf Yurary Poulsen,13,5.135004170529967,7,16.085086254402675,10.950082083872708
DFL-OBJ-0027HO,Robert-Nesta Glatzel,7,4.3997013936851825,6,15.083849249627214,10.684147855942031
DFL-OBJ-J01OYX,Daniel Elfadli,16,4.25079209969531,12,14.388500223957541,10.13770812426223
DFL-OBJ-J020IH,Luka Vušković,42,4.338042665888863,18,14.434643714744162,10.096601048855298
DFL-OBJ-J02321,Aboubaka Soumahoro,1,7.348289462500191,1,16.02208715548103,8.673797692980841
DFL-OBJ-J01FRO,Fábio Daniel Ferreira Vieira,61,5.484480080151088,19,13.557799632968383,8.073319552817296
DFL-OBJ-J01A3I,Albert-Mboyo Sambi Lokonga,97,3.6766725740489656,20,10.283830489746586,6.607157915697621
DFL-OBJ-J01IZ9,Nicolai Remberg,227,4.17721231166302,32,8.314548747010639,4.137336435347619
DFL-OBJ-0001QT,Jonas Meffert,12,4.035868784196841,3,8.159374133363043,4.123505349166202
