object_id,player_name,times_best,avg_breakdown_gap_m,matches,avg_baseline_gap_m,diff_m
DFL-OBJ-J01AZQ,Omar Haktab Traoré,1,0.6387536088661252,1,23.308156066056824,22.6694024571907
DFL-OBJ-0027IT,David Raum,1,0.6689673265194767,1,22.42303551153734,21.754068185017864
DFL-OBJ-00278Q,Phillipp Mwene,2,2.283910667832639,2,22.58485110218991,20.30094043435727
DFL-OBJ-J01IB2,Jordy Makengo Basambundu,1,0.1866302874603445,1,20.20900409514547,20.022373807685128
DFL-OBJ-J01TR0,Olivier Deman,1,1.1195248110109628,1,20.658135851799067,19.538611040788105
DFL-OBJ-J021B9,Nikolas Konrad Veratschnig,2,1.4329161381998918,1,20.89845840706457,19.465542268864677
DFL-OBJ-002GKG,Ansgar Knauff,1,0.8553426863609164,1,19.840885605251735,18.98554291889082
DFL-OBJ-0027T1,Konrad Laimer,1,0.9048374794390044,1,19.745412240424564,18.84057476098556
DFL-OBJ-J01K2X,Anton Kade,1,0.7834720129409389,1,19.356580976235232,18.573108963294292
DFL-OBJ-J0133P,Vladimir Coufal,1,4.15422706037306,1,22.20532916515892,18.05110210478586
DFL-OBJ-J02110,Albian Hajdari,1,0.4317778349631182,1,18.41588201521219,17.984104180249073
DFL-OBJ-J01NZR,Saël Kumbedi Kumbedi,2,1.3108195658173083,1,19.05494296424907,17.74412339843176
DFL-OBJ-J01D4G,Franck Honorat,1,2.832839608398892,1,20.56476550408348,17.731925895684586
DFL-OBJ-J02452,Mathias Pereira Lage,1,0.1084628854994346,1,17.789399221606217,17.680936336106782
DFL-OBJ-002GIC,Josip Stanišić,2,1.9394415483464944,1,19.52397568377524,17.584534135428747
DFL-OBJ-0028I9,Chris Jan Führich,1,2.453899391218437,1,19.66552663755176,17.21162724633332
DFL-OBJ-0028HA,Sirlord Calvin Conteh,1,2.6848058991385955,1,19.802253691810574,17.117447792671978
DFL-OBJ-J01VZA,Jovan Milošević,1,1.123298713610943,1,17.611089057940692,16.48779034432975
DFL-OBJ-J024LV,Rômulo José Cardoso da Cruz,1,0.3337497399083436,1,16.5906184892765,16.256868749368156
DFL-OBJ-00266E,Jonas Föhrenbach,2,7.0294567761502105,1,23.26699745166833,16.23754067551812
DFL-OBJ-002GDA,Ragnar Prince Friedel Ache,1,0.9597453365925308,1,16.81986432285547,15.860118986262938
DFL-OBJ-J01KLQ,Aurèle Florian Amenda,3,1.7505354832731566,2,17.607387372782267,15.85685188950911
DFL-OBJ-J024A2,Christian Michel Kofane,1,2.368814101383555,1,18.111543637682676,15.742729536299121
DFL-OBJ-J020YN,Marco Grüll,1,3.713663792729775,1,19.36166497202631,15.648001179296536
DFL-OBJ-J01LB6,Youssoupha Niang,1,2.945580912753924,1,18.467310122010073,15.521729209256149
DFL-OBJ-J015AU,Karol Mets,1,1.096637396885089,1,16.474763487282253,15.378126090397163
DFL-OBJ-J01XA7,Bruno Ifechukwu Ogbus,3,1.4565139580293396,1,16.76344109928116,15.306927141251819
DFL-OBJ-002G5B,Paul Nebel,1,1.623610517061005,1,16.791218023417596,15.16760750635659
DFL-OBJ-0000NB,Danny Vieira da Costa,1,3.513893763720816,1,18.444982354966353,14.931088591245537
DFL-OBJ-J0164X,Lucas Vázquez Iglesias,2,4.928795256841623,1,19.55166345209285,14.622868195251227
DFL-OBJ-0025RV,Hauke Finn Wahl,1,1.930457951169765,1,16.47100640442351,14.540548453253743
DFL-OBJ-J01CT9,Samuel Emmanuel Essende Mbongu,1,2.476956297555534,1,16.98433327957533,14.507376982019798
DFL-OBJ-J01T26,Alexander Prass,1,3.469866400815196,1,17.927442334925956,14.45757593411076
DFL-OBJ-00018O,Michael Gregoritsch,4,1.9945987714329743,1,16.25085638771613,14.256257616283156
DFL-OBJ-J01KAI,Tom Alexander Rothe,1,4.568215741591939,1,18.632766949522335,14.064551207930396
DFL-OBJ-J01TPA,Jean-Mattéo Bahoya Négoce,2,6.661225727121087,1,20.70618102050925,14.044955293388162
DFL-OBJ-J01KO9,Jarell Amorin Quansah,3,4.444708185175306,1,18.475761657491553,14.031053472316248
DFL-OBJ-002FX2,Romano Christian Schmid,3,3.385069364750039,2,17.384607107812126,13.999537743062087
DFL-OBJ-0028TI,Tom Krauß,1,1.9018924947873304,1,15.874950039561414,13.973057544774083
DFL-OBJ-002GG7,Pharrell Nnamdi Collins,1,4.568596645430845,1,18.48831542659432,13.919718781163475
DFL-OBJ-002GN4,Adam Dźwigała,2,3.546778405422703,2,17.338007944814127,13.791229539391423
DFL-OBJ-J0117M,Haris Tabaković,1,4.471689961425223,1,18.156660048108417,13.684970086683194
DFL-OBJ-J02324,Daniel Jonathan Svensson,1,7.862126122143668,1,21.512700995253365,13.650574873109697
DFL-OBJ-J01QPQ,Ibrahim Maza,1,3.544882940483141,1,17.17389396281194,13.629011022328797
DFL-OBJ-0028NR,Marius Bülter,1,1.8800052534730864,1,15.424920293348656,13.544915039875569
DFL-OBJ-002GEY,Ermedin Demirović,1,2.1598519610906486,1,15.681889189819449,13.5220372287288
