group,phase,dimension,n_events,n_baseline,mean_pct_random,mean_pct_breakdown,shift,p_value_worse,significant_and_worse
Pooled,high_press,pressure,60,59878,0.2782741741541134,0.5909546633710768,0.31268048921696345,0.9999999999813491,False
Pooled,high_press,compactness,60,59878,0.4997788603493771,0.5142846009107407,0.014505740561363611,0.6525416158175903,False
Pooled,high_press,lpc,60,59878,0.4964038912455326,0.6302164400948596,0.13381254884932697,0.9998195580409616,False
Pooled,high_press,pos,59,59878,0.44474427001569855,0.6052051600967163,0.16046089008101777,0.999959798316289,False
Pooled,high_press,anticipation,60,59878,0.21613676809512677,0.5787350946925416,0.3625983265974148,0.9999999999996896,False
Pooled,high_press,synchronization,60,59878,0.4978012959684693,0.31497016155070856,-0.18283113441776072,5.968656633206131e-07,True
Pooled,mid_press,pressure,130,66022,0.37615953772984767,0.5125702854293324,0.1364107476994847,0.9999979840364198,False
Pooled,mid_press,compactness,130,66022,0.49842008724364606,0.4454907804624566,-0.052929306781189456,0.01874107799033355,False
Pooled,mid_press,lpc,130,66022,0.5058605858653177,0.5671407898998702,0.06128020403455248,0.9903703167155464,False
Pooled,mid_press,pos,128,66022,0.4551596649601648,0.5625244946760171,0.10736482971585226,0.9999993029717221,False
Pooled,mid_press,anticipation,130,66022,0.30389186634758114,0.5384074772278704,0.23451561088028927,0.9999999999950645,False
Pooled,mid_press,synchronization,130,66022,0.4924615885613886,0.33333131380448944,-0.15913027475689917,2.523982843410307e-10,True
Pooled,low_press,pressure,928,55972,0.28053721146287425,0.5102397065219803,0.229702495059106,1.0,False
Pooled,low_press,compactness,931,55972,0.49870633531051245,0.5376752362678194,0.038968900957306984,0.9999267826769621,False
Pooled,low_press,lpc,931,55972,0.4998301293503895,0.4431107874022941,-0.056719341948095414,2.0084459822142726e-08,True
Pooled,low_press,pos,914,55972,0.4077371578646466,0.5078253607891785,0.10008820292453191,1.0,False
Pooled,low_press,anticipation,931,55972,0.33731998141928105,0.6206339129362134,0.28331393151693235,1.0,False
Pooled,low_press,synchronization,931,55972,0.5050207389408989,0.3399480352421108,-0.16507270369878813,1.609483851696013e-57,True
Pooled,transition,pressure,134,12112,0.43803115918097757,0.4657124302529624,0.027681271071984814,0.8976189163828655,False
Pooled,transition,compactness,134,12112,0.5005968791281374,0.5303257901378182,0.02972891100968078,0.8783645019480235,False
Pooled,transition,lpc,134,12112,0.4998740752972259,0.5137430006506436,0.013868925353417716,0.7063992927795403,False
Pooled,transition,pos,133,12112,0.42069965323645975,0.5060047327698374,0.08530507953337763,0.9999971956101162,False
Pooled,transition,anticipation,134,12112,0.42100336856010573,0.5855658136004259,0.1645624450403202,0.9999997665533483,False
Pooled,transition,synchronization,134,12112,0.5007292767503303,0.33574141347424036,-0.16498786327608994,3.303493242344456e-11,True
HSV,high_press,pressure,29,25259,0.26873932459717326,0.5381216118256245,0.2693822872284512,0.9999687810915086,False
HSV,high_press,compactness,29,25259,0.49851382081634277,0.4837975129383722,-0.01471630787797057,0.38752180557302673,False
HSV,high_press,lpc,29,25259,0.5071202264539373,0.6187634042355677,0.11164317778163046,0.978393841708733,False
HSV,high_press,pos,29,25259,0.4439306227483273,0.5548394495099733,0.11090882676164604,0.9677980354332366,False
HSV,high_press,anticipation,29,25259,0.21067241775208836,0.5655014054396452,0.3548289876875569,0.9999994106304745,False
HSV,high_press,synchronization,29,25259,0.5051285086503821,0.3420795046081219,-0.16304900404226014,0.0012989529429695474,True
HSV,mid_press,pressure,51,34041,0.38239293205252495,0.5140882591983945,0.13169532714586957,0.9977734957294545,False
HSV,mid_press,compactness,51,34041,0.4989565347668988,0.4484200424977723,-0.05053649226912649,0.10505221174759416,False
HSV,mid_press,lpc,51,34041,0.4989815986604388,0.593618076471798,0.0946364778113592,0.9902485340656537,False
HSV,mid_press,pos,50,34041,0.45927864046297107,0.5200487647248906,0.06077012426191952,0.960427265007671,False
HSV,mid_press,anticipation,51,34041,0.2987711113069534,0.4438223572381862,0.1450512459312328,0.9955589869402802,False
HSV,mid_press,synchronization,51,34041,0.4941112952028436,0.35081398382918866,-0.14329731137365492,0.00018796248574336465,True
HSV,low_press,pressure,480,32045,0.28114764861912933,0.5265044598741353,0.24535681125500597,1.0,False
HSV,low_press,compactness,482,32045,0.4988163145576533,0.5368447120199874,0.03802839746233411,0.9971404491234025,False
HSV,low_press,lpc,482,32045,0.5030094492120456,0.45618745423480594,-0.046821994977239656,0.00039115161237581554,True
HSV,low_press,pos,473,32045,0.4101284943048838,0.5189133805955355,0.1087848862906517,1.0,False
