group,dimension,n_events,mean_percentile_random,mean_percentile_breakdown,shift,p_value_worse_at_breakdown,significant_and_worse
HSV,pressure,620,0.33685999412322665,0.5314265526388607,0.1945665585156341,1.0,False
HSV,compactness,620,0.5238596301756846,0.6732171126850501,0.14935748250936554,1.0,False
HSV,lpc,620,0.48198835599843287,0.4828675427837082,0.000879186785275321,0.6310524643645832,False
HSV,pos,620,0.45520168261299904,0.618226669509158,0.16302498689615902,1.0,False
HSV,anticipation,620,0.28263652259980204,0.6248355201892274,0.34219899758942535,1.0,False
HSV,synchronization,620,0.5164938549055592,0.32241153410723594,-0.19408232079832327,1.5317511093435711e-59,True
Opponents,pressure,635,0.34086748932901684,0.5093651526093881,0.16849766328037125,1.0,False
Opponents,compactness,635,0.4822336434963709,0.6690475568079971,0.18681391331162622,1.0,False
Opponents,lpc,635,0.5013067170488288,0.4864692550339407,-0.014837462014888114,0.07475226837673965,False
Opponents,pos,635,0.4466401798601946,0.6210869164954265,0.17444673663523186,1.0,False
Opponents,anticipation,635,0.2869768653600297,0.6480305787050868,0.36105371334505715,1.0,False
Opponents,synchronization,635,0.4971875603142527,0.2877480194811099,-0.2094395408331428,5.39738928389864e-73,True
