time_block,TPR,game_state
0-15,0.2304545384479646,level
0-15,0.2581057389705685,level
0-15,0.2838146281114073,level
0-15,0.2621342987404566,level
0-15,0.4406548660336904,level
0-15,0.2943650244704463,level
0-15,0.5508739451177478,level
0-15,0.5086851428294451,level
0-15,0.3375593475282993,level
0-15,0.3200690741711626,level
0-15,0.6655126408991106,level
0-15,0.5724070631881949,level
0-15,0.6509210291272584,level
0-15,0.3422015813729558,level
0-15,0.3324555584009859,level
0-15,0.4055173580887609,level
0-15,0.3245422797337985,level
0-15,0.3253434854411303,level
0-15,0.3361866017656614,level
0-15,0.3021284543849475,level
0-15,0.3253637509543526,level
0-15,0.2921233110963315,level
0-15,0.3415803252994165,level
0-15,0.2850936956923648,level
0-15,0.3049462753410998,level
0-15,0.2924325282477624,level
0-15,0.3536628690119233,level
0-15,0.2908632489858898,level
0-15,0.2391539244593885,level
0-15,0.2612833665124425,level
0-15,0.3211308213513735,level
0-15,0.3178732003491207,level
0-15,0.3029353323753329,level
0-15,0.2973917308199345,level
0-15,0.207896116783711,level
0-15,0.1828459859106473,level
0-15,0.2333453488003473,level
0-15,0.3316810711094891,level
0-15,0.3808226876518426,level
0-15,0.3535160658546891,level
0-15,0.3501346980758203,level
0-15,0.3356403706463389,level
0-15,0.3783501674501597,level
0-15,0.3676190449825959,level
0-15,0.3554840596027255,level
0-15,0.3577433770988115,level
0-15,0.3920250107197317,level
0-15,0.4180413288641628,level
0-15,0.39923776374948,level
0-15,0.3924484836087397,level
0-15,0.4255787129853032,level
0-15,0.400724616322676,level
0-15,0.4015084116251813,level
0-15,0.385458324603058,level
0-15,0.337750765565262,level
0-15,0.364502172766048,level
0-15,0.4725482799886488,level
0-15,0.3142885506683108,level
0-15,0.3869813641123135,level
0-15,0.2665739650112771,level
0-15,0.4216839003200037,level
0-15,0.475306942732867,level
0-15,0.4009348697643117,level
0-15,0.4115984814703624,level
0-15,0.4086113913517891,level
0-15,0.6432379468891001,level
0-15,0.553154062528398,level
0-15,0.3492678702425889,level
0-15,0.5735288796664597,level
0-15,0.4631770320022905,level
0-15,0.3703836781345514,level
0-15,0.3618261669119665,level
0-15,0.2310298482287102,level
0-15,0.2249084315070076,level
0-15,0.2704996033292779,level
0-15,0.2900542786639134,level
0-15,0.247228465030277,level
0-15,0.2498946711124434,level
0-15,0.2598700509440466,level
0-15,0.2631572746468498,level
0-15,0.2761388830716615,level
0-15,0.2812377177390827,level
0-15,0.3402279716295333,level
0-15,0.350315605754783,level
0-15,0.3394555426223116,level
0-15,0.3299484368599106,level
0-15,0.3436327434102461,level
0-15,0.3117233842952712,level
0-15,0.3334613367174171,level
0-15,0.3273713543227211,level
0-15,0.3100525121316735,level
0-15,0.3422726910341521,level
0-15,0.3553733903387075,level
0-15,0.6306861840346709,level
0-15,0.4564754542487388,level
0-15,0.3537282897030648,level
0-15,0.5349777507368235,level
0-15,0.5193429408642306,level
0-15,0.4986127031224406,level
0-15,0.353483802749225,level
0-15,0.30205581778532,level
0-15,0.3166539004325238,level
0-15,0.2913036983856475,level
0-15,0.3705589957803716,level
0-15,0.3831466732088177,level
0-15,0.2546580975758747,level
0-15,0.2739987392354749,level
0-15,0.3077311189027293,level
0-15,0.2954129927105925,level
0-15,0.2955577329015532,level
0-15,0.3431730575341964,level
0-15,0.3878890168158952,level
0-15,0.4958623235430928,level
0-15,0.347318141605817,level
0-15,0.3380752796835014,level
0-15,0.3239840303153112,level
0-15,0.3100634508298783,level
0-15,0.3456964820025973,level
0-15,0.3190352299832518,level
0-15,0.3668837635532155,level
0-15,0.4122205312925184,level
0-15,0.3206389214628219,level
0-15,0.3562094428125881,level
0-15,0.4248910005907506,level
0-15,0.4322631285291746,level
0-15,0.4355150570817822,level
0-15,0.2966187191688541,level
0-15,0.2974141864558973,level
0-15,0.2948238349018247,level
0-15,0.2951603932385368,level
0-15,0.3396102268491454,level
0-15,0.3429727102205387,level
0-15,0.4663922885871024,level
0-15,0.2802925911040554,level
0-15,0.3300634888612614,level
0-15,0.3285918498885783,level
0-15,0.3555264771219359,level
0-15,0.4086203272460853,level
0-15,0.464788112011471,level
0-15,0.7499235715037459,level
0-15,0.4987031213454752,level
0-15,0.4376950378202916,level
0-15,0.3627554778201231,level
0-15,0.4063798428128258,level
0-15,0.3926776070000146,level
0-15,0.629521915092026,level
0-15,0.5661832290836732,level
0-15,0.4350086040596214,level
0-15,0.3543038640817965,level
0-15,0.4156054870925971,level
