object_id,player_name,times_flagged,avg_gap_m,matches
DFL-OBJ-J01N5U,William Mikelbrencis,1223,28.495468698851678,25
DFL-OBJ-J01HP7,Miro Max Maria Muheim,1166,28.90096469190887,29
DFL-OBJ-002G8B,Ransford-Yeboah Königsdörffer,980,29.577194607778495,33
DFL-OBJ-0027AT,Bakery Jatta,848,29.542429688904985,15
DFL-OBJ-J01VXC,Giorgi Gocholeishvili,798,28.039975363222457,23
DFL-OBJ-J017PC,Jean-Luc Mamadou Diarra Dompé,765,29.201420783791452,20
DFL-OBJ-J01FRO,Fábio Daniel Ferreira Vieira,474,28.685956585805876,28
DFL-OBJ-J01W6J,Rayan Philippe,471,31.99380035719147,27
DFL-OBJ-J020IH,Luka Vušković,339,33.34495915290794,26
DFL-OBJ-J021LJ,Fabio Amado Uri Baldé,298,28.999371864109598,16
DFL-OBJ-J01H5G,Nicolas Capaldo Taboas,286,28.90681372834725,24
DFL-OBJ-J024Z8,Philip Porwei Otele,271,31.27355536962042,8
DFL-OBJ-J02322,Alexander Rössing-Lelesiit,251,29.59485875392071,11
DFL-OBJ-J01QPG,Damion Lamar Downs,222,32.99655167751349,10
DFL-OBJ-0027JU,Jordan Torunarigha,221,28.388529649811804,20
DFL-OBJ-0027HO,Robert-Nesta Glatzel,195,28.016745708316407,17
DFL-OBJ-J01G5F,Warmed Omari,191,26.231492267351793,20
DFL-OBJ-J02594,Albert Grønbæk Erlykke,171,29.853861430765427,5
DFL-OBJ-0002F6,Yussuf Yurary Poulsen,169,29.05418258049367,14
DFL-OBJ-J01IZ9,Nicolai Remberg,162,26.496676128618276,22
DFL-OBJ-J01QSK,Otto Emerson Stange,141,32.60764010147226,7
DFL-OBJ-J01OYX,Daniel Elfadli,115,32.36038162629604,13
DFL-OBJ-J01A3I,Albert-Mboyo Sambi Lokonga,97,26.84321334805114,18
DFL-OBJ-J02321,Aboubaka Soumahoro,50,34.18769479422617,4
DFL-OBJ-J019DF,Guilherme Magro Pires Ramos,19,44.29201747620591,3
DFL-OBJ-002G5Y,Immanuël-Johannes Pherai,14,29.153477055226542,4
DFL-OBJ-J02270,Emir Sahiti,13,22.0532316595842,2
DFL-OBJ-J0255S,Shafiq Bello Nandja,10,32.0535323863983,2
DFL-OBJ-0001QT,Jonas Meffert,5,24.25558041498825,2
