object_id,player_name,match_id,times_flagged,avg_gap_m
DFL-OBJ-0002FX,Christopher Trimmel,DFL-MAT-J041VB,166,28.939814050218228
DFL-OBJ-00278Q,Phillipp Mwene,DFL-MAT-J041ZQ,134,27.4989604882978
DFL-OBJ-002GC7,Luca Netz,DFL-MAT-J041YN,131,28.991843468754094
DFL-OBJ-J01W5Q,Louis Oppie,DFL-MAT-J041YV,122,27.095673058657102
DFL-OBJ-J01DCO,Yukinari Sugawara,DFL-MAT-J0421J,118,33.38499679967607
DFL-OBJ-J01U8K,Adam Daghim,DFL-MAT-J041W5,109,32.579835719746114
DFL-OBJ-J01NZP,Jeanuël Merick Belocian,DFL-MAT-J0420A,109,27.706590855895467
DFL-OBJ-J01DCO,Yukinari Sugawara,DFL-MAT-J041XE,107,27.750803555743495
DFL-OBJ-J017TJ,Dimitrios Christos Giannoulis,DFL-MAT-J041WT,106,28.037385910774535
DFL-OBJ-J01CAD,Derrick Arthur Köhn,DFL-MAT-J041ZN,102,28.28875167239928
DFL-OBJ-00017V,Christian Günter,DFL-MAT-J041Y0,102,25.80321742534984
DFL-OBJ-0002FX,Christopher Trimmel,DFL-MAT-J041ZN,100,27.284590819040105
DFL-OBJ-002G4W,Philipp Treu,DFL-MAT-J0422E,96,27.989396292670417
DFL-OBJ-J0133P,Vladimir Coufal,DFL-MAT-J0421W,95,29.775544702215374
DFL-OBJ-J01DNM,Nathaniel Brown,DFL-MAT-J041XW,87,29.340037338123857
DFL-OBJ-J01W5Q,Louis Oppie,DFL-MAT-J041UN,86,30.590786197983917
DFL-OBJ-0002JT,Marnon-Thomas Busch,DFL-MAT-J041ZD,83,29.822667120695932
DFL-OBJ-0028CM,Bote Ridle Nzuzi Baku,DFL-MAT-J041VR,83,26.087568158300837
DFL-OBJ-002GNN,Joseph Michael Scally,DFL-MAT-J041UB,83,28.0956673936241
DFL-OBJ-J01XHG,Kristoffer Lund Hansen,DFL-MAT-J0420N,81,25.114521898678944
DFL-OBJ-J01NZR,Saël Kumbedi Kumbedi,DFL-MAT-J041W5,81,27.003990848095967
DFL-OBJ-J01AZQ,Omar Haktab Traoré,DFL-MAT-J041V5,81,30.45259625315179
DFL-OBJ-J01R3R,Michael Akpovie Olise,DFL-MAT-J041Z5,79,35.66115536040299
DFL-OBJ-0028RM,Julian Ryerson,DFL-MAT-J0420P,77,30.302485509221654
DFL-OBJ-J01QRR,Montrell Amare Culbreath,DFL-MAT-J0422G,76,28.73744639680516
DFL-OBJ-J018BS,Rasmus Nissen Kristensen,DFL-MAT-J041XW,74,32.76176956676871
DFL-OBJ-J01FYE,Jakub Piotr Kamiński,DFL-MAT-J041WE,73,26.666333867713337
DFL-OBJ-0002IG,Marius Wolf,DFL-MAT-J04215,72,29.251991435127756
DFL-OBJ-J01KUJ,Arkadiusz Pyrka,DFL-MAT-J041YV,71,26.176777309034037
DFL-OBJ-J016J2,Alejandro Grimaldo Garcia,DFL-MAT-J041YE,70,29.700292577239168
DFL-OBJ-002GIC,Josip Stanišić,DFL-MAT-J041Z5,70,28.867489171215134
DFL-OBJ-J01YBZ,Noahkai Dominic Banks,DFL-MAT-J041WT,69,28.723212442005078
DFL-OBJ-J021ZE,Andrej Ilić,DFL-MAT-J041ZN,69,32.590755584094566
DFL-OBJ-00018O,Michael Gregoritsch,DFL-MAT-J04215,67,40.43173340745934
DFL-OBJ-002GNN,Joseph Michael Scally,DFL-MAT-J041YN,67,30.242140512158283
DFL-OBJ-J01CAD,Derrick Arthur Köhn,DFL-MAT-J041VB,66,27.55550253877043
DFL-OBJ-0028TI,Tom Krauß,DFL-MAT-J0420N,65,32.13917389061668
DFL-OBJ-002G41,Jamie Leweling,DFL-MAT-J04219,64,26.35490530661454
DFL-OBJ-0027IT,David Raum,DFL-MAT-J041VR,63,26.73756751042379
DFL-OBJ-00278Q,Phillipp Mwene,DFL-MAT-J041VN,61,26.212238369577044
DFL-OBJ-0028LS,Josha Mamadou Karaboue Vagnoman,DFL-MAT-J041X5,60,34.33979072153813
DFL-OBJ-J017TJ,Dimitrios Christos Giannoulis,DFL-MAT-J04215,60,27.68192607102913
DFL-OBJ-J01KAL,Lukas Ullrich,DFL-MAT-J041UB,60,28.01077106011278
DFL-OBJ-J02324,Daniel Jonathan Svensson,DFL-MAT-J041WN,59,30.727662759208016
DFL-OBJ-J0231Z,Bazoumana Toure,DFL-MAT-J041XN,59,37.808833253128675
DFL-OBJ-J0133P,Vladimir Coufal,DFL-MAT-J041XN,58,29.0235039264257
DFL-OBJ-J01QRR,Montrell Amare Culbreath,DFL-MAT-J041YE,56,29.855745735669668
DFL-OBJ-J016J2,Alejandro Grimaldo Garcia,DFL-MAT-J0422G,56,28.963574206622376
DFL-OBJ-0028B6,Jan-Niklas Beste,DFL-MAT-J0422E,55,28.281338138718546
DFL-OBJ-J024A2,Christian Michel Kofane,DFL-MAT-J041YE,53,30.690726791218474
