object_id_sb,player_name,role,touches,matches,avg_x_m,role_adjusted_dist
8570,Niklas Stark,Center Back,4,1,29.55,-4.562375016540714
261222,Kota Takai,Center Back,13,1,41.223076923076924,-4.115060620869642
41310,Sebastian Søraas Sebulonsen,Center Back,23,1,54.09130434782608,-3.994640674199903
36811,Moritz Nicolas,Goalkeeper,119,2,9.234453781512606,-2.7923296880254465
18119,Elvis Rexhbeçaj,Defensive Mid,5,1,39.38,-2.5734621259433257
260726,Jonas Adjei Adjetey,Center Back,95,1,55.06421052631579,-2.4809244018620933
228605,Adam Daghim,Full Back,24,1,89.87916666666666,-2.454501879768016
48244,Paul Nebel,Central Mid,7,1,98.38571428571429,-2.317861457959469
8524,Péter Gulácsi,Goalkeeper,53,1,9.690566037735849,-2.2948467446165233
102372,Budu Zivzivadze,Defensive Mid,18,1,75.94444444444444,-2.1659853816585097
28805,Jamie Leweling,Full Back,50,1,84.374,-2.158153143898838
459102,Adam Kölle,Central Mid,20,1,70.135,-2.124531624997714
20662,Alexander Nübel,Goalkeeper,111,2,13.87927927927928,-2.120702140767358
47728,Nikola Vasilj,Goalkeeper,126,2,13.63968253968254,-2.0798712698276143
22324,Philipp Sander,Center Back,89,1,55.720224719101125,-2.041275791598899
48540,Lars Ritzka,Center Back,21,1,49.18095238095238,-2.002192226257377
430540,Kento Shiogai,Attacking Mid,14,1,65.12857142857142,-1.9211933041354432
408608,Jan Bürger,Full Back,25,1,78.18400000000001,-1.8913931363273613
8962,Ihlas Bebou,Winger,11,1,90.01818181818182,-1.8764244226772868
23198,Michael Zetterer,Goalkeeper,112,2,16.933035714285715,-1.8307218033387276
390512,Elias Saad,Attacking Mid,11,1,62.84545454545455,-1.8162144095283168
33297,Patrick Wimmer,Winger,11,1,66.21818181818182,-1.6669066131363037
24118,Nico Cedric Schlotterbeck,Center Back,261,2,59.20574712643678,-1.6445267962024317
405354,Jeremy Alberto Arévalo Mera,Attacking Mid,7,1,73.1,-1.6400756523998459
9402,Rani Khedira,Defensive Mid,79,2,60.89620253164557,-1.634503586428914
6405,Stanley Nsoki,Center Back,75,1,50.346666666666664,-1.5972089395005915
28239,Adam Hložek,Forward,7,1,84.14285714285714,-1.5927136656193728
42822,András Schäfer,Defensive Mid,47,2,75.46170212765956,-1.5664320310164208
433712,Kacper Potulski,Center Back,67,1,46.656716417910445,-1.5331355555965447
5490,Jackson Irvine,Defensive Mid,16,1,64.75,-1.5193549620466928
8211,Benjamin Paa Kwesi Henrichs,Winger,5,1,57.96,-1.5140227818284184
12407,Maximilian Mittelstädt,Center Back,25,1,76.828,-1.513807158356358
23452,Alex Král,Defensive Mid,19,1,62.62105263157895,-1.5116296622477414
31955,Jakub Kamiński,Full Back,49,1,71.78367346938775,-1.5064899689589706
430240,Bazoumana Touré,Full Back,55,1,80.08727272727273,-1.4694066519317182
23658,Aurélio Gabriel Ulineia Buta,Full Back,10,1,79.81,-1.4545283180154442
40707,Ngankam Jessic Gaïtan Ngankam,Forward,7,1,63.285714285714285,-1.4476781898292068
28914,Lovro Majer,Defensive Mid,26,1,79.16153846153846,-1.426745008259202
48821,Sirlord Calvin Conteh,Attacking Mid,37,1,86.96756756756757,-1.4179901138511983
457916,Youssoupha Niang,Winger,16,1,60.23125,-1.4162322350476315
29353,Cédric Adrian Zesiger,Center Back,101,2,52.67821782178218,-1.4116883947669485
201513,Konstantinos Koulierakis,Center Back,144,2,48.71527777777778,-1.4052351590078138
22067,Woo-Yeong Jeong,Attacking Mid,8,1,83.95,-1.3971650969724183
201900,Anton Kade,Attacking Mid,42,1,81.07380952380952,-1.3806649057962272
7241,Arnaud Nordin,Full Back,117,1,71.46324786324787,-1.3789787973803012
201900,Anton Kade,Full Back,60,1,80.125,-1.375750102489586
416763,Noahkai Daniel Banks,Center Back,71,1,56.030985915492955,-1.3722101104086493
152063,Pharell Nnamdi Collins,Center Back,154,1,58.17987012987013,-1.3658756233458187
408577,Ilyas Ansah,Attacking Mid,32,1,88.109375,-1.3458639517438997
149579,Rodrigo Duarte Ribeiro,Attacking Mid,3,1,59.96666666666667,-1.327567345606912
8231,Yannick Gerhardt,Defensive Mid,39,1,63.96666666666666,-1.3028101900157405
9221,Phillip Tietz,Forward,45,1,80.82222222222222,-1.2921192450919963
