object_id_sb,player_name,touches,matches,avg_x_m,mean_position_adjusted_tpr
45057,Valentin André Stanislas Gendrey,1,1,63.7,-0.12433931543517673
33246,Maarten Vandevoordt,45,1,17.513333333333335,-0.06649842079921843
8507,Lukas Manuel Klostermann,1,1,46.0,-0.06572410082881397
48626,Daniel Batz,60,1,13.34,-0.05598000237711451
17974,Gregor Kobel,47,2,13.26595744680851,-0.05588242222878129
40185,Castello Junior Lukeba,240,2,50.25125,-0.04935898453415131
8828,Dominique Heintz,31,1,45.02258064516129,-0.04419428968701014
23198,Michael Zetterer,88,2,15.703409090909092,-0.043468580390659955
158626,Fabio Cristian Chiarodia,97,1,50.67835051546392,-0.04301925547057703
227260,Mio Backhaus,79,2,12.441772151898734,-0.04153403314622623
8524,Péter Gulácsi,44,1,9.086363636363636,-0.041203241625511394
407301,Abdoul Karim Coulibaly,176,2,46.30056818181818,-0.03889814872492516
8518,Marcel Sabitzer,46,1,79.23913043478261,-0.03861860167894411
23384,Amos Pieper,181,2,48.507182320441984,-0.038227681469524565
404317,Lazar Jovanović,7,1,87.64285714285714,-0.03732010026118262
413994,Luca Reggiani,72,1,60.39861111111111,-0.03730485987072784
133141,Diant Ramaj,101,2,17.75643564356436,-0.03589012076008931
13294,Robin Leon Koch,210,2,52.247142857142855,-0.03570824779187252
126795,Arthur Largura Chaves,48,1,54.55416666666667,-0.034659536458628126
20662,Alexander Nübel,91,2,14.247252747252746,-0.034552995286064626
3191,Ramy Bensebaini,78,1,64.77564102564102,-0.033799167845538894
8538,Waldemar Anton,247,2,61.6668016194332,-0.03368530039300895
45116,Chrislain Matsima,103,1,49.4,-0.03333033338047993
37005,Finn Dahmen,97,2,14.601030927835051,-0.03159516362660067
8393,Oliver Baumann,90,2,15.98111111111111,-0.030873745236602575
8509,Vilmos Tamás Orbán,244,2,53.829098360655735,-0.030735160656558822
217047,Fares Chaïbi,27,1,70.8851851851852,-0.030543811640221373
39070,Ansgar Knauff,96,2,85.71041666666667,-0.029467083403646052
50490,Cenk Özkacar,201,2,45.25671641791045,-0.029335840941173707
51628,Rav Wiebe van den Berg,107,1,43.311214953271026,-0.028933026430795462
7095,Marvin Schwäbe,83,2,16.637349397590363,-0.028807434435758228
120833,Aurele Amenda,257,2,54.44007782101168,-0.028208357814234003
