match_id,object_id_sb,player_name,x_m,y_m,nearest_defender_dist_m
DFL-MAT-J041UB,48396,Rocco Reitz,60.0,40.0,9.11526192711981
DFL-MAT-J041UB,36811,Moritz Nicolas,25.0,37.9,24.41703708478979
DFL-MAT-J041UB,36811,Moritz Nicolas,24.6,38.5,8.538928504209412
DFL-MAT-J041UB,8814,Nico Elvedi,36.4,66.7,11.05352884829094
DFL-MAT-J041UB,8814,Nico Elvedi,43.8,60.5,6.71938241209711
DFL-MAT-J041UB,282273,Haris Tabaković,89.6,40.0,0.5375872022286243
DFL-MAT-J041UB,8814,Nico Elvedi,39.8,65.3,0.27892651361962706
DFL-MAT-J041UB,36830,Joseph Scally,33.1,65.9,0.17
DFL-MAT-J041UB,369243,Lukas Ullrich,12.2,0.1,7.632365295241052
DFL-MAT-J041UB,11399,Robin Hack,21.1,2.5,3.435724086710107
DFL-MAT-J041UB,11399,Robin Hack,19.1,2.8,4.6506881211278825
DFL-MAT-J041UB,8814,Nico Elvedi,16.8,72.2,21.90043378565822
DFL-MAT-J041UB,22324,Philipp Sander,51.8,19.2,9.190348197973783
DFL-MAT-J041UB,369243,Lukas Ullrich,65.0,2.8,8.598430089266296
DFL-MAT-J041UB,369243,Lukas Ullrich,65.8,2.5,7.57617977611408
DFL-MAT-J041UB,22324,Philipp Sander,60.4,10.4,6.178001294917314
DFL-MAT-J041UB,22324,Philipp Sander,59.7,21.0,5.969405330516601
DFL-MAT-J041UB,8814,Nico Elvedi,55.2,48.3,13.314522146889088
DFL-MAT-J041UB,8814,Nico Elvedi,64.1,51.1,10.522214595796838
DFL-MAT-J041UB,48396,Rocco Reitz,13.2,37.4,2.904978485290377
DFL-MAT-J041UB,158626,Fabio Cristian Chiarodia,25.6,37.5,10.605776727802636
DFL-MAT-J041UB,48396,Rocco Reitz,51.4,43.0,5.3108662193657254
DFL-MAT-J041UB,22324,Philipp Sander,55.4,34.3,6.531722590557563
DFL-MAT-J041UB,22324,Philipp Sander,56.2,34.9,6.531722590557563
DFL-MAT-J041UB,369243,Lukas Ullrich,61.6,4.0,5.795903725908497
DFL-MAT-J041UB,369243,Lukas Ullrich,62.1,8.0,12.37006467242593
DFL-MAT-J041UB,158626,Fabio Cristian Chiarodia,48.2,23.4,17.24984637612753
DFL-MAT-J041UB,158626,Fabio Cristian Chiarodia,52.4,32.9,16.699775447592103
DFL-MAT-J041UB,8814,Nico Elvedi,55.1,54.3,13.991901228925252
DFL-MAT-J041UB,8814,Nico Elvedi,56.2,54.7,3.6964036576110026
DFL-MAT-J041UB,158626,Fabio Cristian Chiarodia,50.6,30.8,8.556780936777567
DFL-MAT-J041UB,158626,Fabio Cristian Chiarodia,54.4,21.9,3.54565931809586
DFL-MAT-J041UB,369243,Lukas Ullrich,59.4,6.4,4.165729227878355
DFL-MAT-J041UB,369243,Lukas Ullrich,57.0,5.8,3.4677081768799405
DFL-MAT-J041UB,158626,Fabio Cristian Chiarodia,40.0,8.5,12.880908353062683
DFL-MAT-J041UB,158626,Fabio Cristian Chiarodia,33.1,10.4,18.62760585797327
DFL-MAT-J041UB,48396,Rocco Reitz,41.8,30.8,17.636374343951765
DFL-MAT-J041UB,48396,Rocco Reitz,63.4,45.3,4.060788100849391
DFL-MAT-J041UB,158626,Fabio Cristian Chiarodia,60.7,23.4,12.047539167813484
DFL-MAT-J041UB,158626,Fabio Cristian Chiarodia,61.1,25.7,10.829002724166246
DFL-MAT-J041UB,48396,Rocco Reitz,63.5,37.7,6.40199968759762
DFL-MAT-J041UB,48396,Rocco Reitz,63.0,38.4,6.312566831329392
DFL-MAT-J041UB,12303,Kevin Stöger,87.0,52.1,0.7119691004531025
DFL-MAT-J041UB,36830,Joseph Scally,112.1,80.0,4.773195994299832
DFL-MAT-J041UB,7198,Franck Honorat,110.5,67.6,1.414955829699288
DFL-MAT-J041UB,36830,Joseph Scally,117.0,72.4,2.119858485842864
DFL-MAT-J041UB,36830,Joseph Scally,117.0,72.7,6.133481882259049
DFL-MAT-J041UB,36830,Joseph Scally,113.9,80.0,10.625441167311596
DFL-MAT-J041UB,8814,Nico Elvedi,86.3,71.4,3.979057677390465
DFL-MAT-J041UB,8814,Nico Elvedi,86.1,68.9,4.917977226462115
DFL-MAT-J041UB,158626,Fabio Cristian Chiarodia,67.6,41.2,8.587258002412645
DFL-MAT-J041UB,158626,Fabio Cristian Chiarodia,68.1,38.1,8.087236858161136
DFL-MAT-J041UB,8814,Nico Elvedi,72.7,69.6,1.4241137595009747
DFL-MAT-J041UB,8814,Nico Elvedi,71.4,72.4,3.3984113935778875
DFL-MAT-J041UB,36830,Joseph Scally,79.6,76.1,2.8662344635427144
DFL-MAT-J041UB,36830,Joseph Scally,79.8,76.3,2.8662344635427144
DFL-MAT-J041UB,7198,Franck Honorat,90.3,74.9,3.2756678708318403
DFL-MAT-J041UB,36830,Joseph Scally,78.8,67.0,4.167025317897648
DFL-MAT-J041UB,282273,Haris Tabaković,107.0,50.9,2.9416491973041246
DFL-MAT-J041UB,282273,Haris Tabaković,112.4,57.4,1.693576098083579
