object_id,player_name,is_hsv,phase,pressure,compactness,lpc,pos,anticipation,synchronization,total_flagged
DFL-OBJ-00002T,Pascal Groß,False,high_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-0000DT,Leonardo Jesus Loureiro Bittencourt,False,low_press,0.0,0.0,1.0,0.0,0.0,0.0,1.0
DFL-OBJ-0000NB,Danny Vieira da Costa,False,transition,0.5,1.0,0.0,0.0,0.5,0.0,2.0
DFL-OBJ-0000ZS,Matthias Lukas Ginter,False,low_press,0.0,0.0,0.0,0.0,1.0,1.0,2.0
DFL-OBJ-00012Y,Lukas Kübler,False,low_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-00012Y,Lukas Kübler,False,mid_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-00017V,Christian Günter,False,low_press,1.0,0.0,0.0,0.0,0.0,1.0,2.0
DFL-OBJ-00017V,Christian Günter,False,mid_press,1.5,0.0,0.0,0.5,1.0,0.0,3.0
DFL-OBJ-00018O,Michael Gregoritsch,False,low_press,3.0,0.0,0.0,0.0,0.0,3.0,6.0
DFL-OBJ-00018O,Michael Gregoritsch,False,transition,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-0001E5,Jonas Hofmann,False,low_press,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-0001E6,Vincenzo Grifo,False,transition,0.0,0.0,0.0,0.0,1.0,0.0,1.0
DFL-OBJ-0001V0,Ihlas Bebou,False,low_press,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-0002F6,Yussuf Yurary Poulsen,True,low_press,5.5,0.0,1.0,1.0,1.5,3.0,12.0
DFL-OBJ-0002F6,Yussuf Yurary Poulsen,True,mid_press,0.0,1.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-0002FX,Christopher Trimmel,False,high_press,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-0002FX,Christopher Trimmel,False,low_press,1.5,0.0,1.0,1.0,0.5,3.0,7.0
DFL-OBJ-0002FX,Christopher Trimmel,False,mid_press,0.0,0.0,1.0,0.0,0.0,2.0,3.0
DFL-OBJ-0002FX,Christopher Trimmel,False,transition,1.0,1.0,0.0,0.0,0.0,4.0,6.0
DFL-OBJ-0002IG,Marius Wolf,False,high_press,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-0002IG,Marius Wolf,False,low_press,0.5,0.0,0.0,0.0,0.5,2.0,3.0
DFL-OBJ-0002IG,Marius Wolf,False,mid_press,0.0,1.0,0.0,1.0,0.0,1.0,3.0
