object_id,player_name,dimension,times_flagged,matches,side,confident,frames_present_total,mistakes_per_1000_frames
DFL-OBJ-0001QT,Jonas Meffert,anticipation,451,4,hsv,True,5246,85.97
DFL-OBJ-0001QT,Jonas Meffert,compactness,22,3,hsv,True,5246,4.19
DFL-OBJ-0001QT,Jonas Meffert,lpc,515,4,hsv,True,5246,98.17
DFL-OBJ-0001QT,Jonas Meffert,pos,150,4,hsv,True,5246,28.59
DFL-OBJ-0001QT,Jonas Meffert,pressure,299,4,hsv,True,5246,57.0
DFL-OBJ-0001QT,Jonas Meffert,synchronization,513,4,hsv,True,5246,97.79
DFL-OBJ-0002F6,Yussuf Yurary Poulsen,anticipation,2943,15,hsv,True,13428,219.17
DFL-OBJ-0002F6,Yussuf Yurary Poulsen,compactness,1686,15,hsv,True,13428,125.56
DFL-OBJ-0002F6,Yussuf Yurary Poulsen,lpc,2387,15,hsv,True,13428,177.76
DFL-OBJ-0002F6,Yussuf Yurary Poulsen,pos,935,15,hsv,True,13428,69.63
DFL-OBJ-0002F6,Yussuf Yurary Poulsen,pressure,685,15,hsv,True,13428,51.01
DFL-OBJ-0002F6,Yussuf Yurary Poulsen,synchronization,1773,15,hsv,True,13428,132.04
DFL-OBJ-0027AT,Bakery Jatta,anticipation,2302,15,hsv,True,28330,81.26
DFL-OBJ-0027AT,Bakery Jatta,compactness,6275,15,hsv,True,28330,221.5
DFL-OBJ-0027AT,Bakery Jatta,lpc,2183,15,hsv,True,28330,77.06
DFL-OBJ-0027AT,Bakery Jatta,pos,454,15,hsv,True,28330,16.03
DFL-OBJ-0027AT,Bakery Jatta,pressure,755,15,hsv,True,28330,26.65
DFL-OBJ-0027AT,Bakery Jatta,synchronization,3300,15,hsv,True,28330,116.48
DFL-OBJ-0027HO,Robert-Nesta Glatzel,anticipation,4076,19,hsv,True,21029,193.83
DFL-OBJ-0027HO,Robert-Nesta Glatzel,compactness,2865,19,hsv,True,21029,136.24
DFL-OBJ-0027HO,Robert-Nesta Glatzel,lpc,3394,19,hsv,True,21029,161.4
