match_id,object_id_sb,role
DFL-MAT-J041UB,48396,Defensive Mid
DFL-MAT-J041UB,36811,Goalkeeper
DFL-MAT-J041UB,8814,Center Back
DFL-MAT-J041UB,282273,Forward
DFL-MAT-J041UB,147712,Defensive Mid
DFL-MAT-J041UB,279584,Center Back
DFL-MAT-J041UB,11369,Center Back
DFL-MAT-J041UB,9220,Goalkeeper
DFL-MAT-J041UB,12303,Attacking Mid
DFL-MAT-J041UB,33395,Forward
DFL-MAT-J041UB,29223,Full Back
DFL-MAT-J041UB,433076,Attacking Mid
DFL-MAT-J041UB,36830,Full Back
DFL-MAT-J041UB,7198,Winger
DFL-MAT-J041UB,44961,Attacking Mid
DFL-MAT-J041UB,348086,Full Back
DFL-MAT-J041UB,158626,Center Back
DFL-MAT-J041UB,369243,Full Back
DFL-MAT-J041UB,11399,Winger
DFL-MAT-J041UB,31197,Defensive Mid
DFL-MAT-J041UB,39265,Center Back
DFL-MAT-J041UB,22324,Defensive Mid
DFL-MAT-J041UB,12323,Attacking Mid
DFL-MAT-J041UB,30710,Attacking Mid
DFL-MAT-J041UB,5536,Forward
DFL-MAT-J041UB,4470,Attacking Mid
DFL-MAT-J041UB,40943,Full Back
DFL-MAT-J041UB,7739,Center Back
DFL-MAT-J041UB,100436,Forward
DFL-MAT-J041UB,183639,Defensive Mid
DFL-MAT-J041UB,86899,Full Back
DFL-MAT-J041UB,8899,Defensive Mid
DFL-MAT-J041UN,16224,Forward
DFL-MAT-J041UN,24644,Center Back
DFL-MAT-J041UN,8708,Center Back
DFL-MAT-J041UN,95175,Defensive Mid
DFL-MAT-J041UN,7191,Winger
DFL-MAT-J041UN,39265,Center Back
DFL-MAT-J041UN,31197,Defensive Mid
DFL-MAT-J041UN,44961,Winger
DFL-MAT-J041UN,348086,Full Back
DFL-MAT-J041UN,404984,Full Back
DFL-MAT-J041UN,9220,Goalkeeper
DFL-MAT-J041UN,33395,Forward
DFL-MAT-J041UN,29223,Full Back
DFL-MAT-J041UN,16169,Defensive Mid
DFL-MAT-J041UN,433076,Winger
DFL-MAT-J041UN,45117,Full Back
DFL-MAT-J041UN,8904,Center Back
DFL-MAT-J041UN,47728,Goalkeeper
DFL-MAT-J041UN,279584,Center Back
DFL-MAT-J041UN,11369,Center Back
DFL-MAT-J041UN,104616,Winger
DFL-MAT-J041UN,147712,Defensive Mid
DFL-MAT-J041UN,5536,Winger
DFL-MAT-J041UN,31353,Full Back
DFL-MAT-J041UN,4470,Winger
DFL-MAT-J041UN,21623,Winger
DFL-MAT-J041UN,30710,Center Back
DFL-MAT-J041UN,407299,Defensive Mid
DFL-MAT-J041UN,48540,Center Back
DFL-MAT-J041UN,86899,Full Back
DFL-MAT-J041UN,33452,Winger
DFL-MAT-J041UO,29223,Full Back
DFL-MAT-J041UO,39162,Winger
DFL-MAT-J041UO,49337,Full Back
DFL-MAT-J041UO,33395,Forward
DFL-MAT-J041UO,5570,Goalkeeper
DFL-MAT-J041UO,8506,Full Back
DFL-MAT-J041UO,433076,Winger
DFL-MAT-J041UO,24215,Winger
DFL-MAT-J041UO,5579,Defensive Mid
DFL-MAT-J041UO,8519,Center Back
DFL-MAT-J041UO,349172,Center Back
DFL-MAT-J041UO,9220,Goalkeeper
DFL-MAT-J041UO,140589,Defensive Mid
DFL-MAT-J041UO,8400,Attacking Mid
DFL-MAT-J041UO,8221,Center Back
DFL-MAT-J041UO,27158,Winger
