object_id,player_name,times_responsible,avg_individual_pressure,avg_dist_to_carrier_m,matches
DFL-OBJ-J01A3I,Albert-Mboyo Sambi Lokonga,7,0.040875432126689135,5.098921309014552,6
DFL-OBJ-0027JU,Jordan Torunarigha,6,0.17765519802999988,2.999563813686315,5
DFL-OBJ-J01HP7,Miro Max Maria Muheim,6,0.08858572484880657,2.72956230386098,6
DFL-OBJ-J01FRO,Fábio Daniel Ferreira Vieira,5,0.039032415335428394,6.7856707351742855,5
DFL-OBJ-J01G5F,Warmed Omari,5,0.05312321003750312,3.525266582781053,4
DFL-OBJ-J01H5G,Nicolas Capaldo Taboas,5,0.11138763757499286,3.826789794374607,5
DFL-OBJ-J01N5U,William Mikelbrencis,4,0.06194271774561426,3.5369132673875896,3
DFL-OBJ-J017PC,Jean-Luc Mamadou Diarra Dompé,4,0.015686935286605468,12.553012493219615,4
DFL-OBJ-J020IH,Luka Vušković,4,0.055714838514544986,3.7277619500409784,3
DFL-OBJ-002G4W,Philipp Treu,3,0.08991678210947289,2.575425871543754,2
DFL-OBJ-J01KK4,Antonio Eromonsele Nordby Nusa,3,0.07129448248932475,3.0310483456308632,2
DFL-OBJ-J01W6J,Rayan Philippe,3,0.02714216616741783,5.707588605005765,3
DFL-OBJ-002GC0,Rocco Reitz,3,0.09223667430173776,5.180717227313532,1
DFL-OBJ-002G8B,Ransford-Yeboah Königsdörffer,2,0.01813509466017839,6.360018115135911,2
DFL-OBJ-0027BI,Niklas Bernd Dorsch,2,0.7657258399459347,4.575393282719336,1
DFL-OBJ-0027AT,Bakery Jatta,2,0.07138502281974936,4.07621141065922,2
DFL-OBJ-J01OYX,Daniel Elfadli,2,0.04679970872292633,5.65344166633394,2
DFL-OBJ-J01IZ9,Nicolai Remberg,2,0.08713644728284656,2.5201858799873498,2
DFL-OBJ-J01FYE,Jakub Piotr Kamiński,2,0.2865266142316202,8.571780580595542,1
DFL-OBJ-J01DCO,Yukinari Sugawara,2,0.02643912124206358,5.135439693802745,1
DFL-OBJ-0000ZS,Matthias Lukas Ginter,1,0.0757585948915361,1.9309138259590641,1
DFL-OBJ-0000NB,Danny Vieira da Costa,1,0.012186051346320647,12.318743732652152,1
DFL-OBJ-0000HO,Willi Thomas Orbán,1,0.14034380819911116,0.6976181367807781,1
DFL-OBJ-0000D9,Nicolas Höfler,1,0.11417502333463452,0.5394234904083663,1
DFL-OBJ-00021P,Mahmoud Dahoud,1,0.04835921505375896,1.6154186968292341,1
DFL-OBJ-0001EH,Daniel Heuer Fernandes,1,0.12234280426604538,1.6300909561316772,1
DFL-OBJ-00012Y,Lukas Kübler,1,0.03837602208720734,5.139671702149227,1
DFL-OBJ-00012T,Emre Can,1,0.18509379997899428,0.49685981434620563,1
DFL-OBJ-0028CM,Bote Ridle Nzuzi Baku,1,0.03865458423516755,6.370381768423625,1
