object_id,player_name,times_responsible,avg_deviation_cm_s,matches,is_goalkeeper
DFL-OBJ-J01HP7,Miro Max Maria Muheim,41,328.7132369700985,20,False
DFL-OBJ-J01VXC,Giorgi Gocholeishvili,20,269.4226948449069,11,False
DFL-OBJ-J01IZ9,Nicolai Remberg,19,284.0952768309744,13,False
DFL-OBJ-J01H5G,Nicolas Capaldo Taboas,19,338.0506029164486,13,False
DFL-OBJ-0027JU,Jordan Torunarigha,13,292.92810938184346,8,False
DFL-OBJ-J01G5F,Warmed Omari,11,281.5018425616246,9,False
DFL-OBJ-J020IH,Luka Vušković,10,245.7491550116553,7,False
DFL-OBJ-J01N5U,William Mikelbrencis,10,289.640492328835,6,False
DFL-OBJ-J01W6J,Rayan Philippe,10,291.3281100050418,9,False
DFL-OBJ-0027AT,Bakery Jatta,6,246.06631882014076,6,False
DFL-OBJ-J01OYX,Daniel Elfadli,5,269.470131780457,5,False
DFL-OBJ-J01FRO,Fábio Daniel Ferreira Vieira,4,276.13583331925554,4,False
DFL-OBJ-J02594,Albert Grønbæk Erlykke,3,358.47247136920913,3,False
DFL-OBJ-J017PC,Jean-Luc Mamadou Diarra Dompé,3,237.57147129872502,3,False
DFL-OBJ-J01A3I,Albert-Mboyo Sambi Lokonga,3,255.2317052914885,3,False
DFL-OBJ-J021LJ,Fabio Amado Uri Baldé,3,261.0536613815571,2,False
DFL-OBJ-0001QT,Jonas Meffert,2,327.1095803351238,2,False
DFL-OBJ-J02322,Alexander Rössing-Lelesiit,2,315.49886476244967,1,False
DFL-OBJ-J02270,Emir Sahiti,2,234.74219409817334,1,False
DFL-OBJ-0002F6,Yussuf Yurary Poulsen,1,371.7274374176568,1,False
DFL-OBJ-0027HO,Robert-Nesta Glatzel,1,263.46476188867416,1,False
DFL-OBJ-002G5Y,Immanuël-Johannes Pherai,1,211.84709976013983,1,False
DFL-OBJ-002G8B,Ransford-Yeboah Königsdörffer,1,233.2501787664857,1,False
DFL-OBJ-J01QSK,Otto Emerson Stange,1,272.5897069918834,1,False
DFL-OBJ-J024Z8,Philip Porwei Otele,1,428.86873613504,1,False
