object_id,player_name,times_flagged,avg_breakdown_gap_m,matches,avg_baseline_gap_m,diff_m
DFL-OBJ-J01IZ9,Nicolai Remberg,2,31.598886256340343,2,8.314548747010639,23.284337509329703
DFL-OBJ-J020IH,Luka Vušković,4,27.502946316974167,3,14.434643714744162,13.068302602230006
DFL-OBJ-0002F6,Yussuf Yurary Poulsen,13,29.07295970110075,6,16.085086254402675,12.987873446698075
DFL-OBJ-0027JU,Jordan Torunarigha,5,28.161998757572007,5,15.891345360682726,12.270653396889282
DFL-OBJ-J01QPG,Damion Lamar Downs,7,28.197515142145342,5,16.151296861948484,12.046218280196857
DFL-OBJ-002G8B,Ransford-Yeboah Königsdörffer,102,28.164395136631807,27,16.98291846456603,11.181476672065777
DFL-OBJ-J01W6J,Rayan Philippe,36,28.262060338863755,17,17.949927090613773,10.312133248249982
DFL-OBJ-0027HO,Robert-Nesta Glatzel,24,25.243615684509006,12,15.083849249627214,10.159766434881792
DFL-OBJ-J01G5F,Warmed Omari,6,25.495151617428686,5,16.658222300687928,8.836929316740758
DFL-OBJ-J024Z8,Philip Porwei Otele,25,28.487292513028283,6,19.765810664479044,8.721481848549239
DFL-OBJ-J01FRO,Fábio Daniel Ferreira Vieira,34,22.033978030715545,16,13.557799632968383,8.476178397747162
DFL-OBJ-J01OYX,Daniel Elfadli,1,22.764215718621863,1,14.388500223957541,8.375715494664322
DFL-OBJ-J01A3I,Albert-Mboyo Sambi Lokonga,3,18.51035374695719,2,10.283830489746586,8.226523257210603
DFL-OBJ-002G5Y,Immanuël-Johannes Pherai,1,20.3437868999874,1,12.311428478164702,8.032358421822698
DFL-OBJ-J01QSK,Otto Emerson Stange,5,24.992272367398222,4,17.14313779208611,7.84913457531211
DFL-OBJ-J01H5G,Nicolas Capaldo Taboas,12,22.89482776817225,8,15.468492358189701,7.426335409982547
DFL-OBJ-J02594,Albert Grønbæk Erlykke,11,24.787226261062496,6,17.477073438011832,7.3101528230506645
DFL-OBJ-0027AT,Bakery Jatta,30,26.174819736776538,12,23.135164733690214,3.039655003086324
DFL-OBJ-J01HP7,Miro Max Maria Muheim,46,22.007263114974652,22,19.019277478183486,2.9879856367911657
DFL-OBJ-J02270,Emir Sahiti,3,20.931210886270133,1,18.615840736418065,2.3153701498520682
DFL-OBJ-J02322,Alexander Rössing-Lelesiit,18,23.942134191404,6,21.706226038475634,2.235908152928367
DFL-OBJ-J017PC,Jean-Luc Mamadou Diarra Dompé,95,25.53184554907345,18,24.612364899844696,0.9194806492287526
DFL-OBJ-J01N5U,William Mikelbrencis,87,23.468357377892325,20,22.861368143302577,0.6069892345897472
DFL-OBJ-J021LJ,Fabio Amado Uri Baldé,19,22.264019701821596,9,21.6662998198281,0.5977198819934948
DFL-OBJ-J01VXC,Giorgi Gocholeishvili,31,21.73833133446261,14,22.591675597803146,-0.853344263340535
