object_id,player_name,times_flagged,avg_breakdown_gap_m,matches,avg_baseline_gap_m,diff_m
DFL-OBJ-J00ZZ3,Harry Edward Kane,2,36.61631001237211,1,13.120300434922527,23.496009577449584
DFL-OBJ-0025J3,Grischa Prömel,1,34.88304652073699,1,11.955818812646925,22.927227708090065
DFL-OBJ-002G41,Jamie Leweling,3,43.839531909601675,2,21.441297146240128,22.398234763361547
DFL-OBJ-J024A2,Christian Michel Kofane,2,39.40767618158923,1,18.111543637682676,21.296132543906555
DFL-OBJ-J01KLU,Nicolas Jackson,2,37.02962299465851,1,16.49760438155875,20.53201861309976
DFL-OBJ-0028QV,Mathias Honsak,2,38.086970820764705,1,17.58907873699633,20.497892083768374
DFL-OBJ-002FW5,Amos Pieper,1,38.32234203131944,1,17.853269356647573,20.469072674671864
DFL-OBJ-0002LI,Nadiem Amiri,3,32.4516958282006,1,12.873981324468232,19.577714503732366
DFL-OBJ-J01VZA,Jovan Milošević,3,36.39973885749515,1,17.611089057940692,18.78864979955446
DFL-OBJ-0027B9,Lucas Höler,2,32.7084452520049,1,14.62344728801879,18.084997963986112
DFL-OBJ-0028NR,Marius Bülter,3,32.98999310256955,1,15.424920293348656,17.565072809220894
DFL-OBJ-J021AR,Martijn Kaars,2,34.120945560497155,2,17.71517971061643,16.405765849880726
DFL-OBJ-0001V0,Ihlas Bebou,1,35.83066672248477,1,19.480804479776037,16.349862242708735
DFL-OBJ-J01EAQ,Mikkel Kaufmann Sörensen,6,33.51535120669146,1,17.186920144171655,16.328431062519808
DFL-OBJ-J024LV,Rômulo José Cardoso da Cruz,8,32.63447960297063,2,16.5906184892765,16.043861113694128
DFL-OBJ-J01KEB,Dženan Pejčinović,5,33.709782048466835,1,17.691092185761804,16.01868986270503
DFL-OBJ-J01G82,Fabian Rieder,2,27.837962464910365,1,11.980512669951349,15.857449794959017
DFL-OBJ-J01BKL,Han-Noah Massengo,1,24.92556474340708,1,9.279878346792387,15.645686396614693
DFL-OBJ-00278S,Serhou Yadaly Guirassy,1,32.40351592720216,1,16.883339250569122,15.520176676633035
DFL-OBJ-002G5S,Ramy Bensebaini,1,32.482695355078896,1,16.975778477818793,15.506916877260103
DFL-OBJ-J01AUU,Adrian Beck,1,26.031805546292787,1,10.986248351134781,15.045557195158006
DFL-OBJ-J01R3Q,Carney Chibueze Chukwuemeka,2,31.343030050430766,1,16.477726524081124,14.865303526349642
DFL-OBJ-J01UP1,Jobe Samuel Patrick Bellingham,1,23.060824163743828,1,8.634677077710457,14.426147086033371
DFL-OBJ-0028T0,Marvin Pieringer,5,31.198002646634137,1,16.956460812498243,14.241541834135894
DFL-OBJ-0028HA,Sirlord Calvin Conteh,10,33.74782200823155,2,19.802253691810574,13.945568316420978
DFL-OBJ-00018O,Michael Gregoritsch,7,29.998177642978863,1,16.25085638771613,13.747321255262733
DFL-OBJ-J01KEM,Nelson Felix Patrick Weiper,4,32.255592076162856,1,18.54724818817225,13.708343887990605
