match_id,temperature,humidity,precipitation,roof,hsv_tpr
DFL-MAT-J041UB,21.0,28.0,none,open,0.37405024942569803
DFL-MAT-J041UN,20.0,64.0,none,open,0.3705777022511293
DFL-MAT-J041UO,22.0,34.0,none,open,0.37834955600277276
DFL-MAT-J041V5,27.0,55.0,none,open,0.36226998909063696
DFL-MAT-J041VB,16.0,44.0,none,open,0.3843329592753326
DFL-MAT-J041VN,13.0,82.0,lightRain,open,0.3682437784614803
DFL-MAT-J041VR,11.0,50.0,none,open,0.36121059551955925
DFL-MAT-J041W5,11.0,81.0,lightRain,open,0.3628298709135971
DFL-MAT-J041WE,18.0,70.0,none,open,0.3720436495785234
DFL-MAT-J041WN,10.0,81.0,none,open,0.37710301588226447
DFL-MAT-J041WT,0.0,52.0,none,open,0.3708678411648509
DFL-MAT-J041X5,8.0,81.0,none,open,0.3784301561523817
DFL-MAT-J041XE,9.0,88.0,none,open,0.3654249337450723
DFL-MAT-J041XN,6.0,87.0,none,open,0.37244498722654396
DFL-MAT-J041XW,6.0,94.0,none,open,0.35551797391655904
DFL-MAT-J041Y0,3.0,72.0,lightSnow,open,0.36903084707652395
DFL-MAT-J041YE,6.0,47.0,none,open,0.37582838959528225
DFL-MAT-J041YN,3.0,86.0,none,open,0.3680968066842521
DFL-MAT-J041YV,-4.0,75.0,none,open,0.3670888770368365
DFL-MAT-J041Z5,-3.0,83.0,none,open,0.37799353851026163
DFL-MAT-J041ZD,7.0,87.0,none,open,0.3736100335188825
DFL-MAT-J041ZN,0.0,76.0,none,open,0.35137373944832007
DFL-MAT-J041ZQ,5.0,87.0,none,open,0.36648500742125745
DFL-MAT-J04205,8.0,72.0,none,open,0.3734318594143415
DFL-MAT-J0420A,16.0,42.0,none,open,0.38709763334041447
DFL-MAT-J0420N,6.0,83.0,none,open,0.36753864985870965
DFL-MAT-J0420P,11.0,55.0,none,open,0.3695021849535723
DFL-MAT-J04215,11.0,43.0,none,open,0.3719599056291744
DFL-MAT-J04219,8.0,85.0,none,open,0.38558000573182466
DFL-MAT-J0421J,18.0,52.0,none,open,0.3711540594887449
DFL-MAT-J0421W,10.0,62.0,none,open,0.38568746939488024
DFL-MAT-J0421Z,27.0,24.0,none,open,0.36660099093483334
DFL-MAT-J0422E,17.0,49.0,none,open,0.36860851901932046
DFL-MAT-J0422G,18.0,26.0,none,open,0.3749607947258316
