match_id,result
DFL-MAT-J041UB,Draw
DFL-MAT-J041UN,Loss
DFL-MAT-J041UO,Loss
DFL-MAT-J041V5,Win
DFL-MAT-J041VB,Draw
DFL-MAT-J041VN,Win
DFL-MAT-J041VR,Loss
DFL-MAT-J041W5,Loss
DFL-MAT-J041WE,Loss
DFL-MAT-J041WN,Draw
DFL-MAT-J041WT,Loss
DFL-MAT-J041X5,Win
DFL-MAT-J041XE,Win
DFL-MAT-J041XN,Loss
DFL-MAT-J041XW,Draw
DFL-MAT-J041Y0,Loss
DFL-MAT-J041YE,Loss
DFL-MAT-J041YN,Draw
DFL-MAT-J041YV,Draw
DFL-MAT-J041Z5,Draw
DFL-MAT-J041ZD,Win
DFL-MAT-J041ZN,Win
DFL-MAT-J041ZQ,Draw
DFL-MAT-J04205,Loss
DFL-MAT-J0420A,Win
DFL-MAT-J0420N,Draw
DFL-MAT-J0420P,Loss
DFL-MAT-J04215,Draw
DFL-MAT-J04219,Loss
DFL-MAT-J0421J,Loss
DFL-MAT-J0421W,Loss
DFL-MAT-J0421Z,Win
DFL-MAT-J0422E,Win
DFL-MAT-J0422G,Draw
