object_id,player_name,is_hsv,pressure,compactness,lpc,pos,anticipation,synchronization,total_flagged
DFL-OBJ-00002T,Pascal Groß,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-0000DT,Leonardo Jesus Loureiro Bittencourt,False,0.0,0.0,1.0,0.0,0.0,0.0,1.0
DFL-OBJ-0000NB,Danny Vieira da Costa,False,0.5,1.0,0.0,0.0,0.5,0.0,2.0
DFL-OBJ-0000ZS,Matthias Lukas Ginter,False,0.0,0.0,0.0,0.0,1.0,1.0,2.0
DFL-OBJ-00012Y,Lukas Kübler,False,2.0,0.0,0.0,0.0,0.0,0.0,2.0
DFL-OBJ-00017V,Christian Günter,False,2.5,0.0,0.0,0.5,1.0,1.0,5.0
DFL-OBJ-00018O,Michael Gregoritsch,False,4.0,0.0,0.0,0.0,0.0,3.0,7.0
DFL-OBJ-0001E5,Jonas Hofmann,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-0001E6,Vincenzo Grifo,False,0.0,0.0,0.0,0.0,1.0,0.0,1.0
DFL-OBJ-0001V0,Ihlas Bebou,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-0002F6,Yussuf Yurary Poulsen,True,5.5,1.0,1.0,1.0,1.5,3.0,13.0
DFL-OBJ-0002FX,Christopher Trimmel,False,2.5,1.0,2.0,1.0,0.5,10.0,17.0
DFL-OBJ-0002IG,Marius Wolf,False,1.5,1.0,0.0,1.0,0.5,4.0,8.0
DFL-OBJ-0002JT,Marnon-Thomas Busch,False,0.0,0.0,0.0,0.0,0.0,3.0,3.0
DFL-OBJ-0002LI,Nadiem Amiri,False,1.0,0.0,0.0,0.0,1.0,1.0,3.0
DFL-OBJ-0025AD,Maximilian Mittelstädt,False,0.5,0.0,0.0,0.0,0.5,0.0,1.0
DFL-OBJ-0025J3,Grischa Prömel,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-002651,Benedikt Steffen Gimber,False,0.5,0.0,0.0,0.0,0.5,0.0,1.0
DFL-OBJ-00266E,Jonas Föhrenbach,False,2.5,1.0,1.0,0.0,0.5,3.0,8.0
DFL-OBJ-0026MA,Pascal Stenzel,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-0026TU,Andrej Kramarić,False,2.5,0.0,1.0,0.0,1.5,2.0,7.0
DFL-OBJ-0026VB,Phillip Tietz,False,1.0,0.0,1.0,0.0,1.0,0.0,3.0
DFL-OBJ-002706,Florian Christian Neuhaus,False,0.5,0.0,0.0,0.0,0.5,0.0,1.0
DFL-OBJ-00278Q,Phillipp Mwene,False,2.5,1.0,2.0,1.0,1.5,2.0,10.0
DFL-OBJ-00278S,Serhou Yadaly Guirassy,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-0027AT,Bakery Jatta,True,9.0,5.0,2.0,2.0,4.0,8.0,30.0
DFL-OBJ-0027B9,Lucas Höler,False,1.0,0.0,0.0,0.0,1.0,0.0,2.0
DFL-OBJ-0027BH,Marco Friedl,False,1.0,1.0,0.0,0.0,0.0,0.0,2.0
DFL-OBJ-0027FW,Oliver Jasen Burke,False,1.3333333333333333,0.0,2.0,0.3333333333333333,0.3333333333333333,1.0,5.0
DFL-OBJ-0027G6,Serge David Gnabry,False,1.0,0.0,1.0,0.0,1.0,0.0,3.0
DFL-OBJ-0027HO,Robert-Nesta Glatzel,True,9.0,0.0,2.0,0.0,5.0,8.0,24.0
DFL-OBJ-0027IT,David Raum,False,0.5,1.0,0.0,0.0,0.5,1.0,3.0
DFL-OBJ-0027JU,Jordan Torunarigha,True,0.0,1.0,0.0,0.0,0.0,4.0,5.0
DFL-OBJ-0027RM,Robin Hack,False,0.0,0.0,0.0,0.0,0.0,2.0,2.0
DFL-OBJ-0027T1,Konrad Laimer,False,0.0,0.0,0.0,0.0,1.0,0.0,1.0
DFL-OBJ-0027YK,Deniz Undav,False,2.5,0.0,0.0,0.5,1.0,4.0,8.0
DFL-OBJ-0028B6,Jan-Niklas Beste,False,3.0,1.0,0.0,0.0,2.0,2.0,8.0
DFL-OBJ-0028BD,Linton Maina,False,0.5,0.0,1.0,0.0,1.5,2.0,5.0
DFL-OBJ-0028CM,Bote Ridle Nzuzi Baku,False,5.5,0.0,1.0,0.0,1.5,3.0,11.0
DFL-OBJ-0028HA,Sirlord Calvin Conteh,False,5.5,0.0,2.0,0.0,0.5,2.0,10.0
DFL-OBJ-0028I9,Chris Jan Führich,False,2.0,0.0,1.0,0.0,0.0,0.0,3.0
DFL-OBJ-0028LS,Josha Mamadou Karaboue Vagnoman,False,0.5,0.0,0.0,0.5,1.0,0.0,2.0
DFL-OBJ-0028NR,Marius Bülter,False,1.0,0.0,0.0,0.0,0.0,2.0,3.0
DFL-OBJ-0028P3,Philipp Sander,False,0.0,0.0,1.0,0.0,0.0,0.0,1.0
DFL-OBJ-0028QV,Mathias Honsak,False,0.0,0.0,0.0,0.0,0.0,2.0,2.0
DFL-OBJ-0028RM,Julian Ryerson,False,2.0,0.0,0.0,0.0,1.0,4.0,7.0
DFL-OBJ-0028T0,Marvin Pieringer,False,1.5,0.0,0.0,0.0,1.5,2.0,5.0
DFL-OBJ-0028TI,Tom Krauß,False,2.0,0.0,0.0,0.0,0.0,0.0,2.0
DFL-OBJ-002FU7,Jonathan Michael Burkardt,False,1.5,0.0,0.0,0.0,0.5,2.0,4.0
DFL-OBJ-002FVR,Wooyeong Jeong,False,0.0,0.0,0.0,0.0,0.0,4.0,4.0
DFL-OBJ-002FW5,Amos Pieper,False,0.5,0.0,0.0,0.0,0.5,0.0,1.0
DFL-OBJ-002FWZ,Alphonso Boyle Davies,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-002FX2,Romano Christian Schmid,False,0.5,0.0,1.0,0.0,1.5,0.0,3.0
DFL-OBJ-002G1Y,Sheraldo Rudi Salomo Willem Becker,False,1.0,0.0,1.0,0.0,0.0,0.0,2.0
DFL-OBJ-002G41,Jamie Leweling,False,1.0,1.0,0.0,0.0,0.0,1.0,3.0
DFL-OBJ-002G4W,Philipp Treu,False,2.0,1.0,1.0,0.0,0.0,1.0,5.0
DFL-OBJ-002G4X,Giovanni Alejandro Reyna,False,0.5,0.0,0.0,0.0,0.5,0.0,1.0
DFL-OBJ-002G56,Stefan Schimmer,False,2.0,0.0,0.0,0.0,0.0,5.0,7.0
DFL-OBJ-002G5B,Paul Nebel,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-002G5R,Silas Katompa Mvumpa,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-002G5S,Ramy Bensebaini,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-002G5Y,Immanuël-Johannes Pherai,True,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-002G6U,Patrik Schick,False,3.5,0.0,0.0,0.0,2.5,3.0,9.0
DFL-OBJ-002G7P,Maximilian Beier,False,2.0,0.0,0.0,0.0,1.0,0.0,3.0
DFL-OBJ-002G8B,Ransford-Yeboah Königsdörffer,True,25.833333333333332,2.0,10.0,6.333333333333333,17.833333333333332,40.0,102.0
DFL-OBJ-002G8E,Eren Sami Dinkçi,False,0.0,1.0,0.0,0.0,0.0,2.0,3.0
DFL-OBJ-002G8H,Exequiel Alejandro Palacios,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-002GBW,Tim Lemperle,False,3.5,0.0,2.0,0.0,1.5,3.0,10.0
DFL-OBJ-002GC0,Rocco Reitz,False,1.0,0.0,0.0,0.0,0.0,1.0,2.0
DFL-OBJ-002GC7,Luca Netz,False,2.0,0.0,1.0,1.0,1.0,5.0,10.0
DFL-OBJ-002GCU,Malik Leon Tillman,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0
